Pablo Carreno Busta	Carreno-Busta P.
Kenny De Schepper	De Schepper K.
Juan Martin del Potro	Del Potro J.M.
Rogerio Dutra Silva	Dutra Silva R.
Victor Estrella Burgos	Estrella Burgos V.
Pierre-Hugues Herbert	Herbert P.H.
Andrey Kuznetsov	Kuznetsov An.
Yen-Hsun Lu	Lu Y.H.
Paul-Henri Mathieu	Mathieu P.H.
Jan-Lennard Struff	Struff J.L.
Jo-Wilfried Tsonga	Tsonga J.W.
Kai-Chen Chang	Chang K.C.
Kimiko Date-Krumm	Date Krumm K.
Lourdes Dominguez Lino	Dominguez Lino L.
Ying-Ying Duan	Duan Y.Y.
Mariana Duque-Marino	Duque Marino M.
Anna-Lena Friedsam	Friedsam A.L.
Su-Wei Hsieh	Hsieh S.W.
Mirjana Lucic-Baroni	Lucic M.
Christina Mchale	McHale C.
An-Sophie Mestach	Mestach A.S.
A.Pavlyuchenkova	Pavlyuchenkova A.
Karolina Pliskova	Pliskova Ka.
Kristyna Pliskova	Pliskova Kr.
Arina Rodionova	Rodionova Ar.
Anna Karolina Schmiedlova	Schmiedlova A.
A.Schmiedlova	Schmiedlova A.
Silvia Soler-Espinosa	Soler Espinosa S.
B.Zahlavova Strycova	Strycova B.
Carla Suarez Navarro	Suarez Navarro C.
Patricia Maria Tig	Tig P.M.
Maria Torro-Flor	Torro Flor M.T.
Alison Van Uytvanck	Van Uytvanck A.
